California harvester ant,Pogonomyrmex californicus (Buckley)
California oakworm,Phryganidia californica Packard
California pear sawfly,Pristiphora abbreviata (Hartig)
California prionus,Prionus californicus Motschulsky
California red scale,Aonidiella aurantii (Maskell)
California saltmarsh mosquito,Aedes squamiger (Coquillett)
California tortoiseshell,Nymphalis californica (Boisduval)
camellia scale,Lepidosaphes camelliae Hoke
camphor scale,Pseudaonidia duplex (Cockerell)
camphor shot borer,Cnestus mutilatus (Blandford)
camphor thrips,Liothrips floridensis (Watson)
cannabis aphid ,Phorodon cannabis Passerini
caragana aphid,Acyrthosiphon caraganae (Cholodkovsky)
caragana blister beetle,Epicauta subglabra (Fall)
caragana plant bug,Lopidea dakota Knight
Caribbean black scale,Saissetia neglecta De Lotto
Caribbean cicada killer,Sphecius hogardii (Latreille)
Caribbean fruit fly,Anastrepha suspensa (Loew)
Caribbean pod borer,Fundella pellucens Zeller
carmine spider mite,Tetranychus cinnabarinus (Boisduval)
carnation maggot,Delia brunnescens (Zetterstedt)
carnation tip maggot,Delia echinata (Séguy)
carob moth,Ectomyelois ceratoniae (Zeller)
Carolina conifer aphid,Cinara atlantica (Wilson)
Carolina grasshopper,Dissosteira carolina (Linnaeus)
Carolina mantid,Stagmomantis carolina (Johannson)
carpenter bee,Xylocopa virginica (Linnaeus)
carpenterworm,Prionoxystus robiniae (Peck)
carpet beetle,Anthrenus scrophulariae (Linnaeus)
carpet moth,Trichophaga tapetzella (Linnaeus)
carrot beetle,Tomarus gibbosus (De Geer)
carrot rust fly,Psila rosae (Fabricius)
carrot weevil,Listronotus oregonensis (LeConte)
casemaking clothes moth,Tinea pellionella Linnaeus
casuarina tussock moth,Lymantria xylina Swinhoe
cat flea,Ctenocephalides felis (Bouché)
cat follicle mite,Demodex cati Mégnin
cat louse,Felicola subrostratus (Burmeister)
catalpa midge,Contarinia catalpae (Comstock)
catalpa sphinx,Ceratomia catalpae (Boisduval)
cattle biting louse,Bovicola bovis (Linnaeus)
cattle follicle mite,Demodex bovis Stiles
cattle itch mite,Sarcoptes bovis Robin
cattle tail louse,Haematopinus quadripertusus Fahrenholz
cattle tick,Rhipicephalus annulatus Say
Cayenne tick,Amblyomma cajennense (Fabricius)
ceanothus silk moth,Hyalophora euryalus (Boisduval)
cecropia moth,Hyalophora cecropia (Linnaeus)
cedartree borer,Semanotus ligneus (Fabricius)
celery aphid,Semiaphis heraclei (Takahashi)
celery leaftier*,Udea rubigalis (Guenée)
celery looper,Anagrapha falcifera (Kirby)
cereal leaf beetle,Oulema melanopus (Linnaeus)
chaff scale,Parlatoria pergandii Comstock
chainspotted geometer,Cingilia catenaria (Drury)
changa,Neoscapteriscus didactylus (Latreille)
charcoal beetle,Melanophila consputa LeConte
checkered melon beetle,Paranapiacaba tricincta (Say)
cheese mite,Tyrolichus casei Oudemans
cheese skipper,Piophila casei (Linnaeus)
cherry casebearer,Coleophora pruniella Clemens
cherry fruit fly*,Rhagoletis cingulata (Loew)
cherry fruit sawfly,Hoplocampa cookei (Clarke)
cherry fruitworm,Grapholita packardi Zeller
cherry leaf beetle,Tricholochmaea cavicollis (LeConte)
cherry maggot*,Rhagoletis cingulata (Loew)
chestnut timberworm,Melittomma sericeum (Harris)
chicken body louse,Menacanthus stramineus (Nitzsch)
chicken dung fly,Fannia pusio (Wiedemann)
chicken head louse,Cuclotogaster heterographus (Nitzsch)
chicken mite,Dermanyssus gallinae (De Geer)
chigoe,Tunga penetrans (Linnaeus)
Chilean recluse spider,Loxosceles laeta (Nicolet)
chilli thrips,Scirtothrips dorsalis Hood
chimney swift bug,Cimexopsis nyctalis List
chinch bug,Blissus leucopterus leucopterus (Say)
